0,0
1,0.2
2,0.2
3,0.3
4,0.3
5,0.3
6,0.4
7,0.8
8,1.5
9,2.1
10,2.6
11,3.1
12,3.6
13,4
14,4.3
15,4.8
16,5.1
17,5.5
18,5.8
19,6
20,6.3
21,6.5
22,6.7
23,6.9
24,7.1
25,7.3
26,7.4
27,7.6
28,7.8
29,8
30,8.1
31,8.2
32,8.3
33,8.5
34,8.6
35,8.7
36,8.8
37,8.9
38,9
39,9.1
40,9.2
41,9.3
42,9.4
43,9.5
44,9.6
45,9.6
46,9.7
47,9.8
48,9.9
49,9.9
50,9.9
51,10
52,10.1
53,10.2
54,10.2
55,10.3
56,10.3
57,10.4
58,10.4
59,10.5
60,10.5
61,10.6
62,10.6
63,10.7
64,10.7
65,10.8
66,10.8
67,10.9
68,10.9
69,10.9
70,11
71,11
72,11
73,11.1
74,11.1
75,11.2
76,11.2
77,11.3
78,11.3
79,11.3
80,11.3
81,11.4
82,11.4
83,11.5
84,11.5
85,11.5
86,11.6
87,11.6
88,11.6
89,11.7
90,11.7
91,11.7
92,11.7
93,11.7
94,11.8
95,11.8
96,11.8
97,11.9
98,11.9
99,11.9
100,12
101,12
102,12
103,12.1
104,12.1
105,12.1
106,12.1
107,12.1
108,12.1
109,12.2
110,12.2
111,12.2
112,12.3
113,12.3
114,12.3
115,12.3
116,12.4
117,12.4
118,12.4
119,12.5
120,12.5
121,12.5
122,12.5
123,12.5
124,12.5
125,12.5
126,12.6
127,12.6
128,12.6
129,12.6
130,12.7
131,12.7
132,12.7
133,12.8
134,12.8
135,12.8
136,12.8
137,12.8
138,12.8
139,12.9
140,12.9
141,12.9
142,12.9
143,13
144,13
145,13
146,13
147,13.1
148,13.1
149,13.1
150,13.1
151,13.1
152,13.1
153,13.1
154,13.1
155,13.2
156,13.2
157,13.2
158,13.2
159,13.3
160,13.3
161,13.3
162,13.3
163,13.4
164,13.4
165,13.4
166,13.4
167,13.5
168,13.5
169,13.5
170,13.5
171,13.5
172,13.5
173,13.5
174,13.5
175,13.6
176,13.6
177,13.6
178,13.6
179,13.7
180,13.7
181,13.7
182,13.7
183,13.8
184,13.8
185,13.8
186,13.8
187,13.8
188,13.9
189,13.9
190,13.9
191,13.9
192,13.9
193,13.9
194,13.9
195,13.9
196,14
197,14
198,14
199,14
200,14.1
201,14.1
202,14.1
203,14.1
204,14.2
205,14.2
206,14.2
207,14.2
208,14.2
209,14.2
210,14.2
211,14.2
212,14.2
213,14.3
214,14.3
215,14.3
216,14.3
217,14.4
218,14.4
219,14.4
220,14.4
221,14.5
222,14.5
223,14.5
224,14.5
225,14.6
226,14.6
227,14.6
228,14.6
229,14.7
230,14.7
231,14.7
232,14.7
233,14.7
234,14.7
235,14.7
236,14.7
237,14.8
238,14.8
239,14.8
240,14.8
241,14.9
242,14.9
243,14.9
244,15
245,15
